conversation_id_str,created_at,favorite_count,full_text,id_str,in_reply_to_screen_name,lang,tweet_url,user_id_str,username,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaning,case_folding,normalized,tokenized,stopword_removed,steming_data,sentimen_lexicon
1.92135e+18,Sat May 10 23:46:14 +0000 2025,0,Coba deh anda mikir kalo orang tua kalian sedang butuh untuk susu kalian tapi malah di perlakukan begini apa kalian terima?tolong nafsu boleh bego jangan inget orang tua kalian mendidik kalian bukan buat jadi orang tolol yg gak punya sopan santun https://t.co/1thPRCJWhG,1.92135e+18,https://pbs.twimg.com/media/GqoCo2cXYAACoj_.jpg,,in,,0,0.0,0.0,https://x.com/AulyAja/status/1921351101590155466,1.81827e+18,AulyAja,Coba deh anda mikir kalo orang tua kalian sedang butuh untuk susu kalian tapi malah di perlakukan begini apa kalian terima tolong nafsu boleh bego jangan inget orang tua kalian mendidik kalian bukan buat jadi orang tolol yg gak punya sopan santun,coba deh anda mikir kalo orang tua kalian sedang butuh untuk susu kalian tapi malah di perlakukan begini apa kalian terima tolong nafsu boleh bego jangan inget orang tua kalian mendidik kalian bukan buat jadi orang tolol yg gak punya sopan santun,coba deh anda mikir kalau orang tua kalian sedang butuh untuk susu kalian tapi bahkan di perlakukan begini apa kalian terima tolong nafsu boleh bodoh jangan inget orang tua kalian mendidik kalian bukan buat jadi orang tolol yang tidak punya sopan santun,"['coba', 'deh', 'anda', 'mikir', 'kalau', 'orang', 'tua', 'kalian', 'sedang', 'butuh', 'untuk', 'susu', 'kalian', 'tapi', 'bahkan', 'di', 'perlakukan', 'begini', 'apa', 'kalian', 'terima', 'tolong', 'nafsu', 'boleh', 'bodoh', 'jangan', 'inget', 'orang', 'tua', 'kalian', 'mendidik', 'kalian', 'bukan', 'buat', 'jadi', 'orang', 'tolol', 'yang', 'tidak', 'punya', 'sopan', 'santun']","['coba', 'deh', 'mikir', 'orang', 'tua', 'butuh', 'susu', 'perlakukan', 'terima', 'tolong', 'nafsu', 'bodoh', 'inget', 'orang', 'tua', 'mendidik', 'orang', 'tolol', 'sopan', 'santun']",coba deh mikir orang tua butuh susu laku terima tolong nafsu bodoh inget orang tua didik orang tolol sopan santun,negatif
1.92128e+18,Sat May 10 19:13:21 +0000 2025,0,Orang tua pertama kali punya anak ya bakal RnD di anak pertama evaluasi di anak selanjutnya. Anak pertama bakal merasakan bagaimana orang tua mereka berkembang dalam mendidik anak-anaknya. No hard feeling tapi aing ngerti kok ayah dan bunda aing pertama kali jadi orang tua.,1.92128e+18,,,in,,0,1.0,0.0,https://x.com/esayaangggg/status/1921282429861450091,1.17594e+18,esayaangggg,Orang tua pertama kali punya anak ya bakal RnD di anak pertama evaluasi di anak selanjutnya Anak pertama bakal merasakan bagaimana orang tua mereka berkembang dalam mendidik anak anaknya No hard feeling tapi aing ngerti kok ayah dan bunda aing pertama kali jadi orang tua,orang tua pertama kali punya anak ya bakal rnd di anak pertama evaluasi di anak selanjutnya anak pertama bakal merasakan bagaimana orang tua mereka berkembang dalam mendidik anak anaknya no hard feeling tapi aing ngerti kok ayah dan bunda aing pertama kali jadi orang tua,orang tua pertama kali punya anak iya bakal rnd di anak pertama evaluasi di anak selanjutnya anak pertama bakal merasakan bagaimana orang tua mereka berkembang dalam mendidik anak anaknya nomor hard feeling tapi saya mengerti kok ayah dan bunda saya pertama kali jadi orang tua,"['orang', 'tua', 'pertama', 'kali', 'punya', 'anak', 'iya', 'bakal', 'rnd', 'di', 'anak', 'pertama', 'evaluasi', 'di', 'anak', 'selanjutnya', 'anak', 'pertama', 'bakal', 'merasakan', 'bagaimana', 'orang', 'tua', 'mereka', 'berkembang', 'dalam', 'mendidik', 'anak', 'anaknya', 'nomor', 'hard', 'feeling', 'tapi', 'saya', 'mengerti', 'kok', 'ayah', 'dan', 'bunda', 'saya', 'pertama', 'kali', 'jadi', 'orang', 'tua']","['orang', 'tua', 'kali', 'anak', 'iya', 'rnd', 'anak', 'evaluasi', 'anak', 'anak', 'merasakan', 'orang', 'tua', 'berkembang', 'mendidik', 'anak', 'anaknya', 'nomor', 'hard', 'feeling', 'mengerti', 'ayah', 'bunda', 'kali', 'orang', 'tua']",orang tua kali anak iya rnd anak evaluasi anak anak rasa orang tua kembang didik anak anak nomor hard feeling erti ayah bunda kali orang tua,negatif
1.9209e+18,Sat May 10 18:14:54 +0000 2025,0,@adaadabae17 @kegblgnunfaedh dri orang tua/keluarga yg dungu.. ketika peran keluarga gabisa utk mendidik anak bandel tsb kdm datang memberi opsi ijinkanlah pemerintah ikut mendidik anak bandel tsb ke barak militer. jangka panjangnya akan menjadi akar rumput yg baik utk anak bandel tsb kelak jadi ortunya,1.92127e+18,,adaadabae17,in,nganggo helm.,0,0.0,0.0,https://x.com/yofw15/status/1921267718247874691,8.53995e+17,yofw15,dri orang tua keluarga yg dungu ketika peran keluarga gabisa utk mendidik anak bandel tsb kdm datang memberi opsi ijinkanlah pemerintah ikut mendidik anak bandel tsb ke barak militer jangka panjangnya akan menjadi akar rumput yg baik utk anak bandel tsb kelak jadi ortunya,dri orang tua keluarga yg dungu ketika peran keluarga gabisa utk mendidik anak bandel tsb kdm datang memberi opsi ijinkanlah pemerintah ikut mendidik anak bandel tsb ke barak militer jangka panjangnya akan menjadi akar rumput yg baik utk anak bandel tsb kelak jadi ortunya,dari orang tua keluarga yang bodoh ketika peran keluarga gabisa untuk mendidik anak bandel tersebut kdm datang memberi opsi ijinkanlah pemerintah ikut mendidik anak bandel tersebut ke barak militer jangka panjangnya akan menjadi akar rumput yang baik untuk anak bandel tersebut kelak jadi ortunya,"['dari', 'orang', 'tua', 'keluarga', 'yang', 'bodoh', 'ketika', 'peran', 'keluarga', 'gabisa', 'untuk', 'mendidik', 'anak', 'bandel', 'tersebut', 'kdm', 'datang', 'memberi', 'opsi', 'ijinkanlah', 'pemerintah', 'ikut', 'mendidik', 'anak', 'bandel', 'tersebut', 'ke', 'barak', 'militer', 'jangka', 'panjangnya', 'akan', 'menjadi', 'akar', 'rumput', 'yang', 'baik', 'untuk', 'anak', 'bandel', 'tersebut', 'kelak', 'jadi', 'ortunya']","['orang', 'tua', 'keluarga', 'bodoh', 'peran', 'keluarga', 'gabisa', 'mendidik', 'anak', 'bandel', 'kdm', 'opsi', 'ijinkanlah', 'pemerintah', 'mendidik', 'anak', 'bandel', 'barak', 'militer', 'jangka', 'panjangnya', 'akar', 'rumput', 'anak', 'bandel', 'kelak', 'ortunya']",orang tua keluarga bodoh peran keluarga gabisa didik anak bandel kdm opsi ijinkanlah perintah didik anak bandel barak militer jangka panjang akar rumput anak bandel kelak ortunya,negatif
1.9209e+18,Sat May 10 17:46:37 +0000 2025,0,@kegblgnunfaedh Sebenernya penyelesaian nya gampang dia melapor atas dia pribadi atau mewakili orang lain juga kalo misalkan pribadi ya ambil aja anaknya buat di urus sendiri tapi akan timbul pertanyaan lagi kenapa kok bisa anak nya jadi nakal berarti ada yg salah dalam orang tua nya mendidik,1.92126e+18,,kegblgnunfaedh,in,,0,0.0,0.0,https://x.com/aarya_w1/status/1921260604188217602,1.73117e+18,aarya_w1,Sebenernya penyelesaian nya gampang dia melapor atas dia pribadi atau mewakili orang lain juga kalo misalkan pribadi ya ambil aja anaknya buat di urus sendiri tapi akan timbul pertanyaan lagi kenapa kok bisa anak nya jadi nakal berarti ada yg salah dalam orang tua nya mendidik,sebenernya penyelesaian nya gampang dia melapor atas dia pribadi atau mewakili orang lain juga kalo misalkan pribadi ya ambil aja anaknya buat di urus sendiri tapi akan timbul pertanyaan lagi kenapa kok bisa anak nya jadi nakal berarti ada yg salah dalam orang tua nya mendidik,sebenernya penyelesaian nya gampang dia melapor atas dia pribadi atau mewakili orang lain juga kalau misalkan pribadi iya ambil saja anaknya buat di urus sendiri tapi akan timbul pertanyaan lagi kenapa kok bisa anak nya jadi nakal berarti ada yang salah dalam orang tua nya mendidik,"['sebenernya', 'penyelesaian', 'nya', 'gampang', 'dia', 'melapor', 'atas', 'dia', 'pribadi', 'atau', 'mewakili', 'orang', 'lain', 'juga', 'kalau', 'misalkan', 'pribadi', 'iya', 'ambil', 'saja', 'anaknya', 'buat', 'di', 'urus', 'sendiri', 'tapi', 'akan', 'timbul', 'pertanyaan', 'lagi', 'kenapa', 'kok', 'bisa', 'anak', 'nya', 'jadi', 'nakal', 'berarti', 'ada', 'yang', 'salah', 'dalam', 'orang', 'tua', 'nya', 'mendidik']","['sebenernya', 'penyelesaian', 'nya', 'gampang', 'melapor', 'pribadi', 'mewakili', 'orang', 'pribadi', 'iya', 'ambil', 'anaknya', 'urus', 'timbul', 'anak', 'nya', 'nakal', 'salah', 'orang', 'tua', 'nya', 'mendidik']",sebenernya selesai nya gampang lapor pribadi wakil orang pribadi iya ambil anak urus timbul anak nya nakal salah orang tua nya didik,negatif
1.92126e+18,Sat May 10 17:36:48 +0000 2025,0,Training Parenting di Kerawang Pelatihan Parenting The7Awareness bersama Coach Naqoy adalah program transformasi untuk orang tua yang ingin mendidik anak-anak dengan kesadaran hati dan jiwa yang tinggi. https://t.co/RoSn6IVKyR,1.92126e+18,https://pbs.twimg.com/ext_tw_video_thumb/1921257959150985216/pu/img/sIwlaje-sTJJC7Ha.jpg,,in,Naqoy Point Center,0,0.0,0.0,https://x.com/The_7Awareness/status/1921258132430360598,971224224.0,The_7Awareness,Training Parenting di Kerawang Pelatihan Parenting TheAwareness bersama Coach Naqoy adalah program transformasi untuk orang tua yang ingin mendidik anak anak dengan kesadaran hati dan jiwa yang tinggi,training parenting di kerawang pelatihan parenting theawareness bersama coach naqoy adalah program transformasi untuk orang tua yang ingin mendidik anak anak dengan kesadaran hati dan jiwa yang tinggi,training parenting di kerawang pelatihan parenting theawareness bersama coach naqoy adalah program transformasi untuk orang tua yang ingin mendidik anak anak dengan kesadaran hati dan jiwa yang tinggi,"['training', 'parenting', 'di', 'kerawang', 'pelatihan', 'parenting', 'theawareness', 'bersama', 'coach', 'naqoy', 'adalah', 'program', 'transformasi', 'untuk', 'orang', 'tua', 'yang', 'ingin', 'mendidik', 'anak', 'anak', 'dengan', 'kesadaran', 'hati', 'dan', 'jiwa', 'yang', 'tinggi']","['training', 'parenting', 'kerawang', 'pelatihan', 'parenting', 'theawareness', 'coach', 'naqoy', 'program', 'transformasi', 'orang', 'tua', 'mendidik', 'anak', 'anak', 'kesadaran', 'hati', 'jiwa']",training parenting kerawang latih parenting theawareness coach naqoy program transformasi orang tua didik anak anak sadar hati jiwa,negatif
1.92109e+18,Sat May 10 16:20:50 +0000 2025,1,@AntoniusCDN @DediMulyadi71 @KangManto123 @B3doel___ @mulanbilqis @03__nakula @__AnakKolong @Anak__Ogi @ch_chotimah2 @NgkongRoses @DS_yantie @CakKhum @seruanhl @Urrangawak @dkutacimi Anak kecil sudah berkelakuan begini rusak deh..bagaimana orang tua hanya bisa bikin anak tapi mendidik anak koq bisa berkelakuan seperti ini..membahayakan dan merugikan banyak orang..,1.92124e+18,,AntoniusCDN,in,"Gambir, Indonesia",0,1.0,1.0,https://x.com/Mar33Cj/status/1921239015757431029,3244241894.0,Mar33Cj,Anak kecil sudah berkelakuan begini rusak deh bagaimana orang tua hanya bisa bikin anak tapi mendidik anak koq bisa berkelakuan seperti ini membahayakan dan merugikan banyak orang,anak kecil sudah berkelakuan begini rusak deh bagaimana orang tua hanya bisa bikin anak tapi mendidik anak koq bisa berkelakuan seperti ini membahayakan dan merugikan banyak orang,anak kecil sudah berkelakuan begini rusak deh bagaimana orang tua hanya bisa bikin anak tapi mendidik anak kok bisa berkelakuan seperti ini membahayakan dan merugikan banyak orang,"['anak', 'kecil', 'sudah', 'berkelakuan', 'begini', 'rusak', 'deh', 'bagaimana', 'orang', 'tua', 'hanya', 'bisa', 'bikin', 'anak', 'tapi', 'mendidik', 'anak', 'kok', 'bisa', 'berkelakuan', 'seperti', 'ini', 'membahayakan', 'dan', 'merugikan', 'banyak', 'orang']","['anak', 'berkelakuan', 'rusak', 'deh', 'orang', 'tua', 'bikin', 'anak', 'mendidik', 'anak', 'berkelakuan', 'membahayakan', 'merugikan', 'orang']",anak laku rusak deh orang tua bikin anak didik anak laku bahaya rugi orang,negatif
1.9209e+18,Sat May 10 15:23:14 +0000 2025,4,@adaadabae17 @kegblgnunfaedh artinya bapak itu selaku orang tua murid adalah orang dungu dalam hal pengawasan dan serta mendidik anak di lingkup keluarga. yang mana hal tersebut terbawa ke lingkup sekolah-masyarakat sekitar.,1.92122e+18,,adaadabae17,in,,0,0.0,0.0,https://x.com/kataluapa/status/1921224517319356572,1.65025e+18,kataluapa,artinya bapak itu selaku orang tua murid adalah orang dungu dalam hal pengawasan dan serta mendidik anak di lingkup keluarga yang mana hal tersebut terbawa ke lingkup sekolah masyarakat sekitar,artinya bapak itu selaku orang tua murid adalah orang dungu dalam hal pengawasan dan serta mendidik anak di lingkup keluarga yang mana hal tersebut terbawa ke lingkup sekolah masyarakat sekitar,artinya bapak itu selaku orang tua murid adalah orang bodoh dalam hal pengawasan dan serta mendidik anak di lingkup keluarga yang mana hal tersebut terbawa ke lingkup sekolah masyarakat sekitar,"['artinya', 'bapak', 'itu', 'selaku', 'orang', 'tua', 'murid', 'adalah', 'orang', 'bodoh', 'dalam', 'hal', 'pengawasan', 'dan', 'serta', 'mendidik', 'anak', 'di', 'lingkup', 'keluarga', 'yang', 'mana', 'hal', 'tersebut', 'terbawa', 'ke', 'lingkup', 'sekolah', 'masyarakat', 'sekitar']","['orang', 'tua', 'murid', 'orang', 'bodoh', 'pengawasan', 'mendidik', 'anak', 'lingkup', 'keluarga', 'terbawa', 'lingkup', 'sekolah', 'masyarakat']",orang tua murid orang bodoh awas didik anak lingkup keluarga bawa lingkup sekolah masyarakat,negatif
1.9209e+18,Sat May 10 15:03:50 +0000 2025,0,@dodojogja2 @kegblgnunfaedh Jadi kalo lingkungannya sukanya tawuran minum²an keras dan hal negatif lainnya biar jadi penerus gitu? Pemerintah bertindak gitu karena dari orang tua sekolah n lingkungan udah gak mendukung buat mendidik perilaku anak! toh yang dikirim ke barak kan anak² bermasalah.,1.92122e+18,,dodojogja2,in,,0,0.0,0.0,https://x.com/Geminirese/status/1921219634281247071,1.57478e+18,Geminirese,Jadi kalo lingkungannya sukanya tawuran minum²an keras dan hal negatif lainnya biar jadi penerus gitu Pemerintah bertindak gitu karena dari orang tua sekolah n lingkungan udah gak mendukung buat mendidik perilaku anak toh yang dikirim ke barak kan anak² bermasalah,jadi kalo lingkungannya sukanya tawuran minum²an keras dan hal negatif lainnya biar jadi penerus gitu pemerintah bertindak gitu karena dari orang tua sekolah n lingkungan udah gak mendukung buat mendidik perilaku anak toh yang dikirim ke barak kan anak² bermasalah,jadi kalau lingkungannya sukanya tawuran minum²an keras dan hal negatif lainnya biar jadi penerus begitu pemerintah bertindak begitu karena dari orang tua sekolah dan lingkungan sudah tidak mendukung buat mendidik perilaku anak toh yang dikirim ke barak kan anak² bermasalah,"['jadi', 'kalau', 'lingkungannya', 'sukanya', 'tawuran', 'minum²an', 'keras', 'dan', 'hal', 'negatif', 'lainnya', 'biar', 'jadi', 'penerus', 'begitu', 'pemerintah', 'bertindak', 'begitu', 'karena', 'dari', 'orang', 'tua', 'sekolah', 'dan', 'lingkungan', 'sudah', 'tidak', 'mendukung', 'buat', 'mendidik', 'perilaku', 'anak', 'toh', 'yang', 'dikirim', 'ke', 'barak', 'kan', 'anak²', 'bermasalah']","['lingkungannya', 'sukanya', 'tawuran', 'minum²an', 'keras', 'negatif', 'biar', 'penerus', 'pemerintah', 'bertindak', 'orang', 'tua', 'sekolah', 'lingkungan', 'mendukung', 'mendidik', 'perilaku', 'anak', 'dikirim', 'barak', 'anak²', 'bermasalah']",lingkung suka tawur minum an keras negatif biar terus perintah tindak orang tua sekolah lingkung dukung didik perilaku anak kirim barak anak masalah,negatif
1.92121e+18,Sat May 10 14:08:23 +0000 2025,0,Kadang I mikir orang tua macam apa yg bisa mendidik monster macam ini.,1.92121e+18,,,in,Indonesia,0,0.0,0.0,https://x.com/DKDP91/status/1921205682474242427,7.25278e+17,DKDP91,Kadang I mikir orang tua macam apa yg bisa mendidik monster macam ini,kadang i mikir orang tua macam apa yg bisa mendidik monster macam ini,kadang i mikir orang tua macam apa yang bisa mendidik monster macam ini,"['kadang', 'i', 'mikir', 'orang', 'tua', 'macam', 'apa', 'yang', 'bisa', 'mendidik', 'monster', 'macam', 'ini']","['kadang', 'i', 'mikir', 'orang', 'tua', 'mendidik', 'monster']",kadang i mikir orang tua didik monster,negatif
1.92119e+18,Sat May 10 13:14:25 +0000 2025,0,@grok @NenkMonica Belum tentu anak anggota DPR alim2 kebanyakan bandel Karena sering ditinggal orang tua bekerja orang tua tidak mampu mendidik malah dimanjakan alasannya orang tua Cari uang buat anak2.,1.92119e+18,,grok,in,Jakarta timur,0,0.0,0.0,https://x.com/kiwalipitu/status/1921192100059582763,7.09721e+17,kiwalipitu,Belum tentu anak anggota DPR alim kebanyakan bandel Karena sering ditinggal orang tua bekerja orang tua tidak mampu mendidik malah dimanjakan alasannya orang tua Cari uang buat anak,belum tentu anak anggota dpr alim kebanyakan bandel karena sering ditinggal orang tua bekerja orang tua tidak mampu mendidik malah dimanjakan alasannya orang tua cari uang buat anak,belum tentu anak anggota dpr alim kebanyakan bandel karena sering ditinggal orang tua bekerja orang tua tidak mampu mendidik bahkan dimanjakan alasannya orang tua cari uang buat anak,"['belum', 'tentu', 'anak', 'anggota', 'dpr', 'alim', 'kebanyakan', 'bandel', 'karena', 'sering', 'ditinggal', 'orang', 'tua', 'bekerja', 'orang', 'tua', 'tidak', 'mampu', 'mendidik', 'bahkan', 'dimanjakan', 'alasannya', 'orang', 'tua', 'cari', 'uang', 'buat', 'anak']","['anak', 'anggota', 'dpr', 'alim', 'kebanyakan', 'bandel', 'ditinggal', 'orang', 'tua', 'orang', 'tua', 'mendidik', 'dimanjakan', 'alasannya', 'orang', 'tua', 'cari', 'uang', 'anak']",anak anggota dpr alim banyak bandel tinggal orang tua orang tua didik manja alas orang tua cari uang anak,negatif
